Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
09/11/2017 16:00,7171.69,7188.66,7141.14,7181.56,595.36,4267777.15,7168.45
09/11/2017 17:00,7178.63,7200,7158,7199.98,490.93,3529008.89,7188.39
09/11/2017 18:00,7199.02,7250,7183.39,7208.6,320.77,2311741.03,7206.94
09/11/2017 19:00,7208.71,7209,7140.38,7171.02,395.73,2838859.64,7173.78
09/11/2017 20:00,7171.03,7200,7148.33,7158.42,366.73,2632633.86,7178.58
09/11/2017 21:00,7162.36,7179.66,7076,7130.95,822.82,5867187.63,7130.61
09/11/2017 22:00,7120.03,7152.51,7098.98,7126.22,427.72,3049015.83,7128.55
09/11/2017 23:00,7126.41,7161.02,7064.88,7148,369.66,2626169.55,7104.25
10/11/2017 00:00,7150.61,7342.8,7131.37,7334,774.5,5608536.48,7241.46
10/11/2017 01:00,7334,7343.18,7258.25,7279.25,529.61,3863251.75,7294.5
10/11/2017 02:00,7274.61,7309.38,7236.44,7249.99,323.64,2353432.19,7271.76
10/11/2017 03:00,7243.94,7308.97,7243.94,7255.01,175.39,1273919.76,7263.16
10/11/2017 04:00,7257.51,7320.49,7257.51,7320.49,263.94,1924262.6,7290.55
10/11/2017 05:00,7319.97,7325.37,7205.72,7208,379.48,2752273.08,7252.66
10/11/2017 06:00,7207.46,7248.89,7203.13,7225.73,247.17,1784703.98,7220.66
10/11/2017 07:00,7225.72,7248.89,7160,7160.23,404.7,2912505.63,7196.62
10/11/2017 08:00,7160.15,7215.11,7156.83,7192.08,394.95,2838909.45,7188.1
10/11/2017 09:00,7198,7234.53,7112.66,7129.81,471.08,3380764.52,7176.69
10/11/2017 10:00,7129.78,7158.76,7105,7123.7,426.06,3037445.05,7129.22
10/11/2017 11:00,7137.29,7137.29,6845.72,6875.39,3127.31,21771972.44,6961.89
10/11/2017 12:00,6880.09,6911.82,6722.65,6783.35,1730.91,11800701.35,6817.63
10/11/2017 13:00,6783.35,6853.53,6718.49,6853.5,1490.59,10127038.37,6793.98
10/11/2017 14:00,6835.05,6853.53,6765.97,6770.82,1202.58,8194464.95,6814.1
10/11/2017 15:00,6770.72,6853.1,6743.92,6849.9,1383.41,9406809.54,6799.73
10/11/2017 16:00,6849.49,6945.7,6848.02,6894.79,1061.31,7330946.93,6907.44
10/11/2017 17:00,6903.49,6903.49,6751,6775,1223.17,8312653.74,6795.96
10/11/2017 18:00,6775,6778.43,6490.6,6490.6,3437.97,22694862.48,6601.24
10/11/2017 19:00,6490.61,6642.1,6484.44,6611,1387.32,9114865.84,6570.13
10/11/2017 20:00,6601,6601.94,6429.44,6461,1625.62,10557499.64,6494.44
10/11/2017 21:00,6461,6659,6461,6600,1791.01,11790870.58,6583.35
10/11/2017 22:00,6602,6756.7,6600,6711.74,2060.49,13800712.52,6697.8
10/11/2017 23:00,6715.99,6715.99,6586.11,6588.18,702.06,4650958.22,6624.69
11/11/2017 00:00,6588.18,6750.02,6573.35,6750.02,578.74,3858199.29,6666.57
11/11/2017 01:00,6750.21,6811,6729.33,6811,599.88,4060430.87,6768.77
11/11/2017 02:00,6804.59,6811,6736.05,6770,257.51,1744646.97,6774.99
11/11/2017 03:00,6779.99,6784.47,6732,6775.54,215.19,1454028.87,6756.91
11/11/2017 04:00,6777.41,6820,6742.52,6809.68,184.91,1254103.51,6782.11
11/11/2017 05:00,6808.89,6814.87,6661.47,6666.18,477.32,3206809.21,6718.43
11/11/2017 06:00,6671.69,6751.81,6666.18,6730.63,179.18,1201772.95,6707.15
11/11/2017 07:00,6727.28,6744.86,6620,6669.15,385.32,2567854.17,6664.19
11/11/2017 08:00,6669.05,6778.88,6659.72,6773.96,252.45,1698910.32,6729.61
11/11/2017 09:00,6773.73,6773.73,6684.51,6699.89,166.23,1118067.64,6725.88
11/11/2017 10:00,6698.89,6741.86,6570.26,6570.26,542.57,3601784.77,6638.36
11/11/2017 11:00,6580.7,6639.91,6500,6500,710.09,4654405.48,6554.7
11/11/2017 12:00,6500,6501.48,6367,6379.9,1598.66,10273943.18,6426.61
11/11/2017 13:00,6376.65,6563.78,6300,6475,1941.12,12397050.3,6386.54
11/11/2017 14:00,6474,6564.03,6430.42,6435,681.65,4423734.31,6489.7
11/11/2017 15:00,6445.47,6471.15,6361.9,6398.35,638.33,4083952.71,6397.91
11/11/2017 16:00,6388.67,6520.54,6365.02,6431,742.8,4801141.58,6463.56
11/11/2017 17:00,6431,6440.25,6361.91,6417.7,346.68,2218585.67,6399.59
11/11/2017 18:00,6396.7,6429.23,6223,6253.03,1279.14,8041601.41,6286.71
11/11/2017 19:00,6253,6400,6218,6388.07,1139.28,7204277.12,6323.56
11/11/2017 20:00,6356.7,6455,6266.7,6446,644.99,4098405.62,6354.23
11/11/2017 21:00,6446,6503,6369.21,6479.18,571.19,3680991.09,6444.46
11/11/2017 22:00,6479.18,6489.01,6329.12,6329.12,355.7,2276680.22,6400.51
11/11/2017 23:00,6338.41,6392.41,6292.28,6355.13,453.78,2878890.82,6344.3
12/11/2017 00:00,6355.13,6355.13,6250,6250,595.37,3747351.76,6294.19
12/11/2017 01:00,6246,6329.12,6207.02,6209,502.56,3147492.15,6262.87
12/11/2017 02:00,6208,6329.12,6190.88,6202.16,1008.8,6272852.93,6218.16
12/11/2017 03:00,6196.97,6204.41,6077.77,6100.1,1486.13,9119195.27,6136.21
12/11/2017 04:00,6100.1,6215.44,6037.72,6042,1297.12,7932723.64,6115.64
12/11/2017 05:00,6036,6069.79,5750,5875,3373.95,19893378.11,5896.17
12/11/2017 06:00,5875,5879,5555.55,5672.96,3218.24,18297147.73,5685.45
12/11/2017 07:00,5672.97,6204.41,5672.94,6151.16,3711.19,22276576.76,6002.54
12/11/2017 08:00,6179.99,6443,6082.16,6179.01,3041.82,19026481.75,6254.97
12/11/2017 09:00,6170,6299.99,6020.76,6245.79,1981.88,12146099.32,6128.58
12/11/2017 10:00,6235.12,6393.56,6150,6369.5,952.12,5977876.38,6278.48
12/11/2017 11:00,6363,6488.88,6329.12,6417,1313.55,8424323.28,6413.38
12/11/2017 12:00,6415,6428.89,6204.41,6217.06,1091.4,6873143.87,6297.57
12/11/2017 13:00,6217.16,6247.89,5960.17,6193.97,2610.55,15926463.99,6100.8
12/11/2017 14:00,6193,6245.29,6100,6125,626.69,3873978.59,6181.63
12/11/2017 15:00,6129.01,6328,6128.89,6255.78,1015.74,6341229.68,6242.96
12/11/2017 16:00,6255,6290.91,6122.97,6139.5,831.54,5143096.67,6185.03
12/11/2017 17:00,6122.95,6190,6082.16,6093.78,373.62,2292892.39,6136.89
12/11/2017 18:00,6093.81,6262.63,6082.16,6176.06,603.62,3724877.9,6170.88
12/11/2017 19:00,6197.58,6228,5985,6081.99,837.45,5103657.24,6094.27
12/11/2017 20:00,6081.97,6141,5914.19,5950,1106.94,6673416.73,6028.73
12/11/2017 21:00,5950,5999.1,5810.15,5907.64,1401.88,8251205.77,5885.82
12/11/2017 22:00,5928.83,5930,5700,5700,2103.81,12166968.49,5783.31
12/11/2017 23:00,5699.48,5962.32,5645,5870.37,2229.18,12932867.15,5801.62
13/11/2017 00:00,5870.03,6058.74,5850.2,6030.54,1452.72,8690299.51,5982.08
13/11/2017 01:00,6030.66,6040.76,5846,5899,881.81,5230219,5931.2
13/11/2017 02:00,5895.96,5980,5853.37,5939.87,349.78,2075030.84,5932.31
13/11/2017 03:00,5931.64,6082.16,5905.68,5972.38,836.97,5008757.37,5984.43
13/11/2017 04:00,5980.99,6099.8,5950.07,6073.7,620.42,3742546.12,6032.3
13/11/2017 05:00,6073.7,6308.86,6021.94,6225.53,1199.85,7441076.14,6201.68
13/11/2017 06:00,6225.51,6329.12,6204.41,6290.85,753.76,4715954.07,6256.57
13/11/2017 07:00,6299,6311,6142.98,6266.46,1085.09,6755607.66,6225.86
13/11/2017 08:00,6266.46,6350,6203.55,6270.9,903.47,5683973.08,6291.28
13/11/2017 09:00,6270.9,6455.17,6269.72,6400.27,1146.96,7304274.36,6368.35
13/11/2017 10:00,6400.27,6487,6329.12,6447.97,1279.23,8195814.63,6406.81
13/11/2017 11:00,6450,6586.11,6445.3,6516.67,1738.14,11328876.36,6517.83
13/11/2017 12:00,6516.67,6685.9,6502.08,6673.32,1128.17,7451928.74,6605.31
13/11/2017 13:00,6673.29,6775.75,6586.11,6622.21,2174.59,14544353.24,6688.33
13/11/2017 14:00,6622.21,6649.99,6473.24,6520.9,1585.44,10374752.48,6543.78
13/11/2017 15:00,6539.95,6718.49,6520.9,6717.19,1211.73,8032813.15,6629.2
13/11/2017 16:00,6701.05,6718.39,6430,6431.01,1639.08,10757842.89,6563.33
13/11/2017 17:00,6431,6560,6425,6479.22,918.18,5954268.51,6484.89
13/11/2017 18:00,6479.21,6479.21,6334.13,6390.01,1496.4,9569987.93,6395.34
13/11/2017 19:00,6391.01,6545,6310,6444.09,1264.44,8166034.6,6458.21
13/11/2017 20:00,6442.03,6510,6359.65,6412.74,709.44,4560305.67,6428
13/11/2017 21:00,6415.32,6585.85,6406.04,6476.34,1198.15,7808360.54,6516.99
13/11/2017 22:00,6476.34,6520,6450.1,6450.51,747.12,4841831.6,6480.7
13/11/2017 23:00,6450.51,6579,6425.58,6525.17,881.34,5736475.09,6508.82
14/11/2017 00:00,6524.69,6651.97,6524.69,6644.07,758.9,5002595.22,6591.89
14/11/2017 01:00,6644.86,6718,6591,6630.01,833.46,5550658.61,6659.79
14/11/2017 02:00,6630.01,6681.5,6600.36,6647.89,298.63,1982548.64,6638.77
14/11/2017 03:00,6648.51,6750,6642.38,6659.16,389.98,2612290.67,6698.53
14/11/2017 04:00,6672.88,6695.3,6586.11,6628.21,487.55,3237901.6,6641.23
14/11/2017 05:00,6635.34,6638.19,6539.06,6570.01,461.88,3041237.55,6584.43
14/11/2017 06:00,6570.01,6636.85,6564,6597.22,144.65,955948.4,6608.7
14/11/2017 07:00,6596.82,6619.11,6560.77,6600,138.06,910621.83,6596.07
14/11/2017 08:00,6607.84,6619.12,6470.86,6510,680.52,4448739.72,6537.3
14/11/2017 09:00,6503,6586.11,6503,6584.99,212.68,1394422.26,6556.5
14/11/2017 10:00,6584.99,6635,6575.01,6629.98,356.33,2354021.19,6606.29
14/11/2017 11:00,6629.6,6629.6,6517.67,6549.45,640.94,4201073.72,6554.51
14/11/2017 12:00,6549.67,6580,6466.88,6533.83,707.88,4610160.49,6512.63
14/11/2017 13:00,6533.84,6554.2,6492.85,6535.55,486.88,3173527.22,6518.06
14/11/2017 14:00,6520,6600,6520,6597.89,379.83,2496651.4,6573.13
14/11/2017 15:00,6593.18,6610.34,6541.46,6575.84,379.36,2497371.62,6583.12
14/11/2017 16:00,6563.13,6614.38,6526,6602,596.01,3921518.75,6579.58
14/11/2017 17:00,6599.73,6618.23,6540,6559.34,599.26,3947026.42,6586.48
14/11/2017 18:00,6559.66,6601.48,6511.08,6530,957.99,6272340.88,6547.39
14/11/2017 19:00,6532,6615.27,6525.65,6615.27,645.04,4234510.52,6564.76
14/11/2017 20:00,6615.09,6651.97,6588.08,6628.99,781.65,5184061.69,6632.22
14/11/2017 21:00,6621.79,6638.01,6566.71,6607.74,417,2750580.15,6596.04
14/11/2017 22:00,6600,6640.49,6566.5,6580,294.21,1945414.46,6612.31
14/11/2017 23:00,6580,6615,6541.9,6609,423.36,2783167.53,6573.95
15/11/2017 00:00,6609,6785.67,6609,6749.99,1589.4,10688642.1,6724.96
15/11/2017 01:00,6734.66,6811.99,6734.66,6795,891.8,6052948.63,6787.35
15/11/2017 02:00,6794.99,6915.59,6776.25,6871.32,1199.08,8230172.73,6863.71
15/11/2017 03:00,6869.26,6898.05,6817.49,6885.53,181.48,1244751.77,6858.77
15/11/2017 04:00,6873.29,6878.86,6794.21,6848.06,185.33,1266216.49,6832.28
15/11/2017 05:00,6848.1,6879.69,6820.01,6831.57,94.36,647017.5,6856.7
15/11/2017 06:00,6831.57,6893.62,6831.57,6877.5,242.49,1665686.3,6869.1
15/11/2017 07:00,6877.5,6963,6875.22,6901.72,427.97,2966632.47,6931.88
15/11/2017 08:00,6901.03,6950,6900,6944.22,265.68,1842532.14,6935.1
15/11/2017 09:00,6948.4,6989,6892.41,6900.09,588.29,4097201.56,6964.65
15/11/2017 10:00,6900.09,6973,6885.84,6971.42,234.06,1621312.14,6927.01
15/11/2017 11:00,6971.42,7124.37,6961.61,7108,1036.27,7287218.39,7032.14
15/11/2017 12:00,7110,7250,7092,7236.27,1166.77,8350762.65,7157.18
15/11/2017 13:00,7236.28,7241.14,7097.86,7160.19,1072.38,7669063.62,7151.42
15/11/2017 14:00,7165.76,7270.93,7155.89,7167,1287.47,9296886.83,7221.07
15/11/2017 15:00,7167.01,7275.16,7162.56,7260.11,799,5788345.37,7244.52
15/11/2017 16:00,7261.73,7264.06,7089,7170.38,1137.73,8148957.03,7162.45
15/11/2017 17:00,7170.38,7217.24,7150,7181.39,649.18,4666563.87,7188.4
15/11/2017 18:00,7191,7191,7101,7142.5,789.58,5640053.68,7143.09
15/11/2017 19:00,7160,7268.61,7117.46,7229.99,735.17,5295931.44,7203.67
15/11/2017 20:00,7229.99,7350,7184.7,7270,1110.1,8087811.15,7285.67
15/11/2017 21:00,7269.82,7304,7225,7300.02,522.09,3798002.09,7274.57
15/11/2017 22:00,7300.02,7310.01,7225,7261.47,376.38,2734737.67,7265.9
15/11/2017 23:00,7267.8,7319.95,7203.13,7294,287.83,2083744.76,7239.39
16/11/2017 00:00,7294,7310,7220,7230.01,321.43,2330161.72,7249.39
16/11/2017 01:00,7230.01,7246.78,7130,7165.83,614.7,4405360.39,7166.71
16/11/2017 02:00,7166.12,7203.13,7120.85,7172,338.62,2427647.86,7169.18
16/11/2017 03:00,7180.44,7265,7150.46,7261.99,327.7,2362395.85,7208.91
16/11/2017 04:00,7260,7260,7181.15,7224.57,201.09,1452958.75,7225.41
16/11/2017 05:00,7224.57,7231.81,7162.19,7231.81,165.08,1188940.45,7202.13
16/11/2017 06:00,7221.39,7299.98,7220,7282.49,308.85,2242803.8,7261.67
16/11/2017 07:00,7289.5,7412,7251.72,7408.23,928.35,6823037.74,7349.66
16/11/2017 08:00,7408.23,7460.36,7349,7404,1477.99,10923366.35,7390.71
16/11/2017 09:00,7404,7473.45,7396.54,7468,485.11,3613085.58,7447.93
16/11/2017 10:00,7468,7538,7450,7497.93,1709.14,12799935.75,7489.11
16/11/2017 11:00,7494.99,7500.9,7367,7410,776.15,5776691.92,7442.72
16/11/2017 12:00,7408.31,7485.9,7399.32,7434.92,307.21,2288246.74,7448.55
16/11/2017 13:00,7434.9,7472.37,7380,7405,481.2,3568436.29,7415.64
16/11/2017 14:00,7405,7510,7399.73,7489.88,789.57,5883531.99,7451.54
16/11/2017 15:00,7489.9,7504.99,7457.49,7462.16,288.87,2160844.78,7480.38
16/11/2017 16:00,7462,7481.01,7425.16,7467.73,310.87,2316564.23,7451.91
16/11/2017 17:00,7474.82,7722.73,7462.15,7699.98,2060.55,15669701.59,7604.63
16/11/2017 18:00,7694.65,7826,7639,7820,1843.4,14269441.94,7740.83
16/11/2017 19:00,7815.8,7830,7675,7755,939.87,7286478.62,7752.67
16/11/2017 20:00,7755,7756,7670,7749.93,672.08,5193953.11,7728.18
16/11/2017 21:00,7749.93,7895,7720,7886.88,1394.2,10908349.47,7824.11
16/11/2017 22:00,7886.88,7976.79,7722.73,7799.04,1894.41,14858289.72,7843.25
16/11/2017 23:00,7799.98,7877.96,7763.76,7846.96,635.94,4988102.86,7843.7
17/11/2017 00:00,7846.96,7980,7827.07,7935.58,814.62,6450613.9,7918.53
